ID,Título,Precio,Precio Original,Condición,Cantidad disponible,Marca,Envío gratuito
MLA1422976047,Celular Quantum Q10 Negro 4gb Ram + 128gb,148800,193999,new,1,Quantum,True
MLA1570099690,Moto G84 5g Color Viva Magenta,499999,549999,new,50,Motorola,True
MLA1658689660,Xiaomi Redmi Note 11 4gb Ram 128gb Rom Color Gris Grafito,323519,369999,new,50,Xiaomi,True
MLA1471211850,Motorola Moto E22 64gb Azul 4gb Ram,229999,249999,new,500,Motorola,True
MLA1399356383,Teléfono Celular Tcl 408 (6+64) Gravity Gray Rva,189999,222599,new,1,TCL,True
MLA1699409670,Kodak Smartway L1 Pro Dual Sim 16 Gb Plateado 2 Gb Ram,54500,,new,100,Kodak,True
MLA1399328699,Xiaomi Redmi 12 Dual Sim 256 Gb  Midnight Black 8 Gb Ram,278685,,new,1,Xiaomi,True
MLA1730833202, Motorola E13 64 Gb  Negro 2 Gb Ram,169411,,new,1,Motorola,True
MLA1699450436,Smartphone Kodak Seren D55l 32gb 2gb Ram,65990,,new,150,Kodak,True
MLA1330406312,Samsung Galaxy A04 128 Gb Negro 4 Gb Ram,284999,,new,250,Samsung,True
MLA1648074580,Motorola Moto Edge 40 Neo 256 Gb Negro 8 Gb Ram ,699999,,new,200,Motorola,True
MLA1143672801,Nokia 106 (2018) 4 Mb  Gris Oscuro 4 Mb Ram,28937,,new,1,Nokia,True
MLA1401877995,Motorola Moto G54 5g 128 Gb Verde 4 Gb Ram,449999,,new,200,Motorola,True
MLA1719218680,Xiaomi Redmi 13c Dual Sim 256 Gb  Midnight Black 8 Gb Ram,241999,,new,1,Xiaomi,True
MLA1504966344,Celular Liberado Zte Blade A53 Plus 4g 6.52p Gris,118999,,new,1,ZTE,True
MLA1436462434,Samsung Galaxy A14 (exynos) 5g Dual Sim 128 Gb  Black 4 Gb Ram,299999,434999,new,150,Samsung,True
MLA1392198890,Samsung Galaxy A34 128gb 6gb Ram Awesome Silver ,569999,695999,new,150,Samsung,True
MLA1531729108,Samsung Galaxy A14 (mediatek) 5g Dual Sim 128 Gb  Silver 4 Gb Ram,299999,434999,new,150,Samsung,True
MLA1364062753,Samsung Galaxy A23 5g 5g 128 Gb  Awesome Black 4 Gb Ram,399999,589999,new,500,Samsung,True
MLA1401603065,Tcl 40 Se 256 Gb  Twilight Purple 6 Gb Ram,299999,,new,50,TCL,True
MLA1399343099,Tcl 40 Se 128 Gb  Twilight Purple 4 Gb Ram,209999,243799,new,1,TCL,True
MLA1679537402,Tcl 403 32 Gb  Prime Black 2 Gb Ram,129499,137999,new,1,TCL,True
MLA1354114168,"Samsung Galaxy A04e 3+64gb 6,5 Pulgadas Octa-core Color Black",224999,,new,1,Samsung,True
MLA1426903644,Samsung Galaxy A04 64gb Negro 4gb Ram,217599,,new,1,Samsung,True
MLA1411243233,Ipro F183 Dual Sim 32 Mb  Negro 32 Mb Ram,35694,,new,50,iPro,True
MLA1405545719,Xiaomi Redmi Note 13 4g Dual Sim 256 Gb  Negro 8 Gb Ram,349999,,new,1,Xiaomi,True
MLA1409526152,Motorola Moto G23 128 Gb  Azul Cielo 4 Gb Ram,349999,,new,500,Motorola,True
MLA1747888582,Xiaomi Redmi 12c Dual Sim 128 Gb 4 Gb Ram Gris Grafito,257999,,new,1,Xiaomi,True
MLA1570934784,Motorola Moto G14 128 Gb Beige 4 Gb Ram,299999,329999,new,250,Motorola,True
MLA1400348627,Kanji Fon Dual Sim 32 Mb  Rojo 32 Mb Ram,25512,,new,1,Kanji,True
MLA1704857340,Zte Blade A33 Plus 32 Gb  Space Gray 2 Gb Ram,129999,139999,new,250,ZTE,True
MLA1602987854,Tcl 40 Nxtpaper 256 Gb Azul 8 Gb Ram,423999,,new,1,TCL,True
MLA1699461332,Pixpro L1 Pro 5.7  16gb Gris 2 Gb Ram,54500,,new,150,Pixpro,True
